title,artist,year,medium,description,artist_bio,location,period,provenance,image_url,source_url
In the Womb,Simon Okeke,1955,Oil on canvas,"In the Womb portrays the strong emotional bond that originates between a mother and her child at conception and continues beyond childbirth. Notice the child leaning asleep on his mother's body as the mother seemingly tends to wrap him in her arms with compassion. An African setting is also captured with a local pot of water seen within the background of the painting. The choice of dark, warm grey, yellow and brown color combinations display the motherly kindness and affection towards her child.",,Nigeria,Painting,"Yemisi Shyllon Museum of Art, Pan-Atlantic University","https://lh3.googleusercontent.com/ci/AL18g_QbeJzN6HKtQniE5ItbEd_-F1wL45jnWt8Uwdsu3_NuWgjV2X9vqsHyfR8mU1LQwC-JAs2j=fcrop64=1,054004edfa10f753",https://artsandculture.google.com/asset/in-the-womb/yQFF1Qnl49NBoA
Wole Soyinka,Diseye Tantua,2009,Acrylic on Canvas,Wole Soyinka. He was the first black African to be honoured with the Nobel Prize in Literature in 1986.,"A series of portraits of multiple award-winning playwright, poet and essayist – Professor",Nigeria,Painting,"Yemisi Shyllon Museum of Art, Pan-Atlantic University","https://lh3.googleusercontent.com/ci/AL18g_QoDt1HSI6O_2agdHcg3xe8gRZx50tOzOj81DoOMcojfaButv34jqolFGMGb0LzXPZ9YzQs=fcrop64=1,054004edfa10f753",https://artsandculture.google.com/asset/wole-soyinka/owGU-okyOyBmEQ
The Meeting Point,J.O Ugoji,1949,Gouache on Paper,"The Meeting Point depicts is a scene of busy men and women fetching water from a set of somewhat deep wells. The men, who are generally more energetic and strong compared to the women, can be noticed to be more involved, as fetchers, in the strenuous act of drawing the water from the subsurface with fetching troughs. Ichummiri, the art of fetching water (from rivers, wells and lakes) is very common among Ndigbo, the Igbo People, and is an indigenous tradition among Africans in general. The fetcher on the right can be seen being supported by a woman with outstretched hands on one of his legs to provide some needed energy and balance as he pulls the heavy water-filled fetching trough from the well. Vessels like metallic basins, wooden and clay pots are normally used and are carried by women on their heads during this exercise. Ugoji’s unique rendition of the landscape comprising of palm trees and lush vegetation is epic in every sense. The painting is a good reflection on the communal life of the African people, the site of a well or stream generally brings people in the community together.","J.O Ugoji was a modern Nigerian artist born in Mbawsi, Imo State in 1917. He was part of the early modernists trained to be an art educator by the British trainer, Kenneth Murray in Umuahia in the 1930’s. Before that he had studied art at Uyo Teacher Training College. He went on to obtain a Diploma in audiovisual graphic art from Ohio University Education Project Centre, Ibadan. Not much is recorded about Ugoji as an artist, as he spent the larger part of his career as an educator teaching in different schools/colleges across the east, west and southern parts of the country between 1941 and 1957. Thus, his service was instrumental in spreading the canon of modern art across the country in the 20th century. As an artist, he had two notable solo exhibitions in Ibadan (1951) and at the Exhibition Centre, Marina, Lagos (1953) and also participated in some group exhibitions including the The Living Art of the Igbo, Institute of African Studies, University of Nigeria, Nsukka (1977) among others. He was posthumously inducted as a Fellow of the Asele Insitute, Nimo in 1985.",Nigeria,Painting,"Yemisi Shyllon Museum of Art, Pan-Atlantic University","https://lh3.googleusercontent.com/ci/AL18g_QbeJzN6HKtQniE5ItbEd_-F1wL45jnWt8Uwdsu3_NuWgjV2X9vqsHyfR8mU1LQwC-JAs2j=fcrop64=1,054004edfa10f753",https://artsandculture.google.com/asset/the-meeting-point/ZgFX83DNlgMz6Q
Gallery visitor,,,,"The Yemisi Shyllon Museum of Art (YSMA), of the Pan-Atlantic University, Lagos, is the first purpose built, privately owned art museum in Nigeria. The 900 sqm museum hosts over 1000 artworks from Prince Yemisi Shyllon’s vast art collection. Thanks to him, the YSMA is privileged to have one of the most comprehensive and diverse art collections in the country and to make it accessible to all visitors. Our collection features artworks from established Nigerian artists including Ben Enwonwu, Uche Okeke, Aina Onabolu, El Anatsui, Erhabor Emokpae, Yusuf Grillo, Lamidi Fakeye, Bruce Onabrakpeya, Ben Osawe, Isiaka Osunde, Okpu Eze, Abayomi Barber, Gani Odutokun, Kolade Oshinowo, etc. Alongside them, are works by younger artists: Kainebi Osahenye, Ben Osaghae, Peju Layiwola, Tony Nsofor, Peju Alatise, Victor Ehikhamenor, Lanre Tejuoso, Eva Obodo, Ozioma Onuzulike, Uchay Chima, Ayobola Kekere-Ekun, Kelani Abass and many others.",,"Lagos, Nigeria",,,"https://lh3.googleusercontent.com/ci/AL18g_QbeJzN6HKtQniE5ItbEd_-F1wL45jnWt8Uwdsu3_NuWgjV2X9vqsHyfR8mU1LQwC-JAs2j=fcrop64=1,054004edfa10f753",https://artsandculture.google.com/asset/gallery-visitor/twENjene8TKkow
,,,,,,,,,"https://lh3.googleusercontent.com/ci/AL18g_QbeJzN6HKtQniE5ItbEd_-F1wL45jnWt8Uwdsu3_NuWgjV2X9vqsHyfR8mU1LQwC-JAs2j=fcrop64=1,054004edfa10f753",https://artsandculture.google.com/asset/gonache/DAE8Oqqv6NKzjA
,,,,,,,,,"https://lh3.googleusercontent.com/ci/AL18g_QoDt1HSI6O_2agdHcg3xe8gRZx50tOzOj81DoOMcojfaButv34jqolFGMGb0LzXPZ9YzQs=fcrop64=1,054004edfa10f753",https://artsandculture.google.com/asset/children-in-the-gallery/1wFd0dUUKfIIEg
,,,,,,,,,"https://lh3.googleusercontent.com/ci/AL18g_QoDt1HSI6O_2agdHcg3xe8gRZx50tOzOj81DoOMcojfaButv34jqolFGMGb0LzXPZ9YzQs=fcrop64=1,054004edfa10f753",https://artsandculture.google.com/asset/nnamdi-azikiwe/qQFhqjtcwRO4Yg
,,,,,,,,,https://lh3.googleusercontent.com/ci/AL18g_St9clMSQW5SVwWF4J1ImFzpK6obLrLu_ncP8QlwUm24pNlEJ3C15baWVpXBH09eAu-gys8uQ=x0-y0-z0-nt0IdKXHxMS8JxsHzTTNDG5m5_5nPo,https://artsandculture.google.com/asset/atilogwu-dancers/7gG1fVgnjoFb_w
,,,,,,,,,https://lh3.googleusercontent.com/ci/AL18g_SElefusaXj_qcJTa6vsYKLTwsjVN3xpiMe5-iHWvyNO1smFt84Orm8fv1L3EeFYlGf-3IKcA=x0-y0-z0-nt0eTjUpxDN02exnN4INmqrhxNMQus,https://artsandculture.google.com/asset/the-reader/cAHIah7kqucz-w
Idimarha III (Birthright),Bruce Onobrakpeya,1980,Metal Foil Relief Print,"Idimarha III (Birthright) is metal foil relief print depicting mythical figures. Prominent is the Y-shaped feature in the middle looking like a tree. Another figure looking like a goat or sheep with beards, long horns and a long wagging tail. On the top right corner is a motif round in structure, probably depicting the rising sun or the moon. Looking very closely, one would observe other motifs that seem to represent people. The entire piece seems to denote a shrine of worship.","Born 30th of August, 1932 in Agbarha-Otor, Delta state, Bruce Onobrakpeya is Nigeria’s foremost graphic illustrator, painter, printmaker and sculptor. He studied fine art at the Nigerian College of Arts, Science & Technology (NCAST), now Ahmadu Bello University, Zaria where he obtained a Diploma in Fine Arts, in 1961, specializing in painting and history of art. He was a pioneer member of the Zaria Art Society alongside other likeminded students including Uche Okeke, Yusuf Grillo, Demas Nwoko, Simon Okeke among others. As a renowned African art educator, he has travelled and taught in various institutions at home and abroad and has published numerous scholarly works. Onobrakpeya was also a pioneer member of the Society of Nigerian Artists (SNA). He is a recipient of Nigerian National Order of Merit Award for Humanities, Arts and Culture. In 2018, he was inducted into the Hall of Fame of the Society of Nigerian Artists (SNA) for his contribution to the growth of art in the country and his service to the nation.",Nigeria,Print,"Yemisi Shyllon Museum of Art, Pan-Atlantic University","https://lh3.googleusercontent.com/ci/AL18g_QbeJzN6HKtQniE5ItbEd_-F1wL45jnWt8Uwdsu3_NuWgjV2X9vqsHyfR8mU1LQwC-JAs2j=fcrop64=1,054004edfa10f753",https://artsandculture.google.com/asset/idimarha-iii-birthright/nAGSgSqHJLKjwA
Not for so Long,Kelechi Amadi-Obi,1997,Watercolour on paper,,"Kelechi Amadi-Obi (born December 29, 1969) is a renowned Nigerian photographer, painter, and publisher of Mania Magazine. His work has gained international recognition, with exhibitions such as Snap Judgment: New Positions in Contemporary African Photography in New York (2006) showcasing his talent. A trailblazer in celebrity photography, Amadi-Obi has played a pivotal role in elevating Nigerian photography on the global scene, with Vogue hailing him as ""a major force in the creative scene in Nigeria."" In Not for So Long, Amadi-Obi presents a striking image of a young African woman, lying on a bed in a contemplative, seated position. The artwork, rendered in black and white, uses subtle shading to emphasize the elegance of her ebony-black hair and the curve of her back, turned away from the viewer. The subdued tones and intimate pose suggest an air of quiet anticipation, as if she is waiting for someone. The simplicity of the composition, paired with the emotional depth conveyed by her posture, invites viewers to engage with her inner thoughts and emotions, creating a moment of quiet reflection in the viewer’s experience.",,Painting,Yemisi Shyllon Museum of Art,"https://lh3.googleusercontent.com/ci/AL18g_Sb15Qn-O5f1Pa_kNl1_r7c9Ow78HpP1jzfg2FCHGraVyMe5PwTLmtfY-uuSapl2V56Qs8u=fcrop64=1,054004edfa10f753",https://artsandculture.google.com/asset/not-for-so-long/GwG6wIqZZ25mmA
Digital Armour,Adeola Balogun,2019,Mixed Media,"Digital Armour captures the importance of technology in the 21st century Digital Age. With numerous technological advancements and discoveries in different fields over the years and the global consciousness to embrace these new findings by all — nations, corporations and individuals alike — technology has seemingly become indispensable in our daily lives and interactions. As a matter of fact, we are all surrounded by it. The artist uses different parts of electrical appliances and the bull, a beast known for its agility, enormous energy and power as symbols to talk about the powerful influence of technology in the modern day society. The piece emphasizes the need for all nations, corporations and individuals to develop and keep abreast with advancements and ""arm"" themselves with new innovations in technology to remain relevant, competitive and powerful like the Bull in the digital age.",,Nigeria,Sculpture,"Yemisi Shyllon Museum of Art, Pan-Atlantic University","https://lh3.googleusercontent.com/ci/AL18g_QoDt1HSI6O_2agdHcg3xe8gRZx50tOzOj81DoOMcojfaButv34jqolFGMGb0LzXPZ9YzQs=fcrop64=1,054004edfa10f753",https://artsandculture.google.com/asset/digital-armour/hwH-XyuRE98iQw
Afikpo Mask,Ndidi Dike,1996,Wood,"Afikpo Mask, Ndidi Dike attempts to explore the dynamic aesthetics of the local masquerade, Mmonwu, of the Afikpo people of Ebonyi state, south-east Nigeria. The different outlooks of the mask are shown on the eleven wooden panels, each with unique facial attributes. Ndidi stylishly identifies with the Uli insignia which the Nsukka Art School was famous for. The presence of uli lines and patterns on the body of the panels gives each mask a unique aesthetic appeal. Her colours, though quiet, draw attention for closer viewing and admiration.","Born 1960 in London, Ndidi Dike showed very early interest in art as a child taking art classes in primary school. After her secondary school she relocated to Nigeria for her tertiary education at the University of Nigeria Nsukka (UNN) where she obtained a Diploma in Music Education (voice) and B.A in Fine and Applied Arts (majoring in Mixed Media Painting) in 1984. Passing through the walls of the famous Nsukka Art School had a great influence in her art. She kick-started her career as a solo artist in her hometown, Owerri, right after her one-year mandatory National Youth Service in 1985. Her first solo exhibition Mixed Media Expose was hosted in 1986. Ndidi is one of Nigeria’s leading female artists and has worked in diverse media all through her professional career spanning over three decades. She is a member of the Society of Nigerian Artists (SNA) and also belongs to the Guild of Fine Arts, Nigeria (GFAN). In","Owerri, Nigeria",Sculpture,"Yemisi Shyllon Museum of Art, Pan-Atlantic University","https://lh3.googleusercontent.com/ci/AL18g_Sb15Qn-O5f1Pa_kNl1_r7c9Ow78HpP1jzfg2FCHGraVyMe5PwTLmtfY-uuSapl2V56Qs8u=fcrop64=1,054004edfa10f753",https://artsandculture.google.com/asset/afikpo-mask/hwGCU_kL_u-ifQ
